"OBJECTID","FID_saf_profile_line_SplitLine","Id","Name","id1","Shape_Length"
8,1,1,"P1-L-EL",1,2.941702
12,3,3,"P3-L-PV",1,2.198960
14,1,1,"P1-EL-SJF",2,0.315597
17,2,2,"P2-L-EL",1,2.831646
19,1,1,"P1-SJF-SAF",3,0.212796
23,2,2,"P2-EL-SJF",2,0.294170
25,3,3,"P3-PV-EL",2,0.555392
28,4,4,"P4-L-PV",1,2.297897
31,3,3,"P3-EL-SJF",3,0.320733
33,2,2,"P2-SJF-SAF",3,0.444693
36,4,4,"P4-PV-EL",2,0.400484
41,5,5,"P5-L-PV",1,2.294051
43,3,3,"P3-SJF-SAF",4,0.440904
45,6,6,"P6-L-TR",1,1.778566
48,4,4,"P4-EL-SJF",3,0.376079
53,5,5,"P5-PV-TR",2,0.288148
58,4,4,"P4-SJF-SAF",4,0.242182
64,4,4,"P4-SAF-ECSZL",5,0.297108
66,5,5,"P5-TR-SAF",3,0.397490
69,4,4,"P4-ECSZL-ECSZR",6,0.201180
71,6,6,"P6-TR-SAF",2,0.915122
79,5,5,"P5-SAF-ECSZL",4,0.970346
82,6,6,"P6-SAF_GF",3,0.668767
85,5,5,"P5-ECSZL-ECSZR",5,0.214812
87,1,1,"P1-SAF-R",4,2.987745
89,7,7,"P7-L-SAF",1,2.241572
99,5,5,"P5-ECSZR-GF",6,0.283565
101,6,6,"P6-GF-ECSZL",4,0.799595
103,2,2,"P2-SAF-R",4,2.887330
105,6,6,"P6-ECSZL-ECSZR",5,0.317769
109,3,3,"P3-SAF-R",5,2.941850
112,4,4,"P4-ECSZR-R",7,2.642909
115,5,5,"P5-GF-R",7,2.009427
117,7,7,"P7-SAF-ECSZL",2,2.324746
119,7,7,"P7-ECSZL-ECSZR",3,0.278599
121,6,6,"P6-ECSZR-R",6,1.978020
127,7,7,"P7-ECSZR-R",4,1.605620
