Table DR2. Nominally interseismic GPS velocity field used to constrain the block model.
Columns give: station name, longitude, latitude, east velocity, north velocity, east
uncertainty, north uncertainty!
!
Station Lon. Lat. V_e V_n S_e S_n!
!
0047_GPS 240.020 43.590 -2.069 1.357 0.610 0.600!
02EX_GPS 239.750 40.130 -7.124 4.575 1.000 0.900!
02FS_GPS 238.960 40.300 -6.575 5.905 0.700 0.600!
02SS_GPS 238.960 41.510 -7.652 4.905 0.700 0.800!
1008_GPS 240.360 38.330 -8.156 8.351 1.200 0.900!
10BB_GPS 240.300 39.280 -7.764 6.353 0.800 0.900!
3756_GPS 241.860 39.540 -6.805 3.588 0.800 0.900!
43JD_GPS 240.340 39.850 -5.802 4.052 0.500 0.500!
61RB_GPS 242.730 39.980 0.316 0.049 0.900 0.900!
6683_GPS 242.390 38.880 -3.330 0.464 0.800 0.800!
6FMK_GPS 243.290 41.220 -3.402 -0.177 0.700 0.700!
79JR_GPS 243.170 39.970 -1.048 1.828 0.900 0.900!
7MIR_GPS 239.310 43.170 -1.649 2.392 0.900 0.900!
A210_GPS 239.860 39.360 -10.393 6.571 0.700 0.700!
A250_GPS 240.230 39.100 -10.088 6.156 0.700 0.600!
A255_GPS 240.350 39.220 -6.366 8.751 0.800 0.800!
A275_GPS 240.590 39.350 -6.932 5.342 0.600 0.700!
A290_GPS 240.810 39.430 -4.905 5.233 0.600 0.700!
A295_GPS 240.920 39.460 -4.493 2.528 0.900 0.800!
A300_GPS 240.080 38.780 -11.033 9.262 0.500 0.500!
A435_GPS 241.930 38.690 -3.788 2.785 1.000 0.900!
ADIN_GPS 239.050 41.180 -6.178 8.602 1.000 0.900!
AGGI_GPS 241.870 39.000 -4.361 1.987 0.700 0.600!
ALKA_GPS 239.980 41.550 -2.657 3.866 0.700 0.800!
ALTU_GPS 239.500 41.510 -4.822 3.388 0.755 0.658!
AURO_GPS 241.080 38.330 -5.596 6.721 1.300 0.800!
B200_GPS 241.060 39.510 -6.076 3.522 0.600 0.600!
B210_GPS 241.130 39.490 -5.772 2.419 0.800 0.700!
B220_GPS 241.350 39.400 -8.063 2.510 0.800 0.700!
B270_GPS 241.830 39.290 -4.234 1.389 0.900 0.700!
B280_GPS 241.980 39.270 -2.723 0.483 0.800 0.700!
B285_GPS 242.050 39.300 -2.014 4.579 2.000 1.600!
B290_GPS 242.140 39.280 -4.909 -0.225 0.800 0.700!
B300_GPS 240.760 38.990 -8.055 5.335 0.400 0.400!
B387_GPS 241.860 39.670 -5.891 3.488 0.800 0.900!
B428_GPS 244.890 41.100 -2.277 -0.556 0.800 0.900!
BAMO_GPS 242.800 40.410 -4.432 1.446 0.600 0.600!
BATT_GPS 243.130 40.610 -3.082 0.530 0.600 0.600!
BEAV_GPS 238.200 43.130 -2.723 7.111 0.500 0.512!
BELL_GPS 241.970 40.940 -4.347 1.283 1.000 0.800!
BEOW_GPS 243.580 40.660 -3.038 0.309 0.800 0.900!
BISC_GPS 239.660 40.560 -7.588 3.979 1.000 1.000!
BLAB_GPS 240.940 39.580 -4.579 3.427 0.500 0.400!
